region,number
Kherson Oblast, 43
Volyn Oblast,
Rivne Oblast,
Zhytomyr Oblast, 15
Kyiv Oblast, 107
Chernihiv Oblast, 54
Sumy Oblast, 16
Kharkiv Oblast, 91
Luhansk Oblast, 36
Donetsk Oblast, 117
Zaporizhia Oblast, 23
Lviv Oblast,
Ivano-Frankivsk Oblast,
Zakarpattia Oblast,
Ternopil Oblast,
Chernivtsi Oblast,
Odessa Oblast,
Mykolaiv Oblast, 40
Autonomous Republic of Crimea,
Vinnytsia Oblast,
Khmelnytskyi Oblast,
Cherkasy Oblast,
Poltava Oblast,
Dnipropetrovsk Oblast,
Kirovohrad Oblast,
Sevastopol,
Kyiv, 16
